,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,2901.747941970825,100.9824275970459,1000,0.1708037925,0.4919019990000001,0.26522209234046346,0.6587367447687542,0.3444647418226528,0.19169936812751492,5
1,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,5604.09951210022,175.68612098693848,1000,0.1708037925,0.4919019990000001,0.26522209234046346,0.6587367447687542,0.3444647418226528,0.19169936812751492,10
2,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,8467.450141906738,403.16009521484375,1000,0.1708037925,0.4919019990000001,0.0004738117225582159,0.6587367447687542,0.25611562332960147,0.23842427466046429,15
3,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,11336.413145065308,427.7639389038086,1000,0.1708037925,0.4919019990000001,0.0004738117225582159,0.6587367447687542,0.25611562332960147,0.23842427466046429,20
4,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,14212.977170944214,795.6597805023193,1000,0.1708037925,0.4919019990000001,0.0004738117225582159,0.6587367447687542,0.25611562332960147,0.23842427466046429,25
5,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,17163.022994995117,798.7000942230225,1000,0.1708037925,0.4919019990000001,0.00044969402582410815,0.6587367447687542,0.25612474808112184,0.23844150490775307,30
6,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,19975.719928741455,970.8852767944336,1000,0.1708037925,0.4919019990000001,0.0003032338702250991,0.6587367447687542,0.2561801733713306,0.23854616511021537,35
7,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,22892.55166053772,1060.8491897583008,1000,0.1708037925,0.4919019990000001,0.0003032338702250991,0.6759974263471997,0.26258661190366045,0.25092143563915253,40
8,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,26451.650381088257,1781.5618515014648,1000,0.1708037925,0.4919019990000001,0.0003032338702250991,0.6759974263471997,0.26258661190366045,0.25092143563915253,45
9,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,29378.779888153076,1524.3725776672363,1000,0.1708037925,0.4919019990000001,0.0003032338702250991,0.6759974263471997,0.26258661190366045,0.25092143563915253,50
10,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,32377.79474258423,1851.1488437652588,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,55
11,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,35549.50547218323,1957.448959350586,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,60
12,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,38529.60538864136,2236.4253997802734,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,65
13,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,41628.45540046692,2420.534610748291,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,70
14,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,44688.77720832825,2363.7545108795166,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,75
15,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,47703.92894744873,2502.0411014556885,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,80
16,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,50808.674335479736,2783.336877822876,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,85
17,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,53780.96318244934,2839.33424949646,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,90
18,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,56748.684883117676,3188.333749771118,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,95
19,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-05,100,,1,59777.806997299194,3203.1614780426025,1000,0.1708037925,0.4919019990000001,0.00028935951459507363,0.6759974263471997,0.2625910860866003,0.25093086343947846,100
