,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,5886.192560195923,45.10927200317383,False,1500,0.072092966,0.40936737,0.2937390545845021,0.2937390545845021,inf,0.1767723053968506,1
1,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,11901.84473991394,88.77921104431152,False,1500,0.072092966,0.40936737,0.211950792344148,0.2937390545845021,1.5688834108645338,0.12831624783232973,2
2,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,17804.025888442993,132.18998908996582,False,1500,0.072092966,0.40936737,0.211950792344148,0.2937390545845021,1.5688834108645338,0.12831624783232973,3
3,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,23720.072507858276,176.59831047058105,False,1500,0.072092966,0.40936737,0.211950792344148,0.2937390545845021,1.5688834108645338,0.12831624783232973,4
4,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,29646.003007888794,221.51541709899902,False,1500,0.072092966,0.40936737,0.211950792344148,0.2937390545845021,1.5688834108645338,0.12831624783232973,5
5,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,35564.46933746338,265.216588973999,False,1500,0.072092966,0.40936737,0.19916581143116083,0.2937390545845021,1.284564403740945,0.12148542170111926,6
6,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,41509.413719177246,309.45754051208496,False,1500,0.072092966,0.40936737,0.19916581143116083,0.2937390545845021,1.284564403740945,0.12148542170111926,7
7,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,47432.695150375366,352.1106243133545,False,1500,0.072092966,0.40936737,0.19916581143116083,0.2937390545845021,1.284564403740945,0.12148542170111926,8
8,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,53365.6861782074,398.5917568206787,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,9
9,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,59464.98775482178,442.6460266113281,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,10
10,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,65411.577224731445,485.6078624725342,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,11
11,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,71377.80785560608,530.4930210113525,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,12
12,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,77360.10456085205,574.0230083465576,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,13
13,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,83344.70343589783,617.4407005310059,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,14
14,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,89328.29332351685,662.3172760009766,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,15
15,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,95312.98780441284,705.5230140686035,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,16
16,random_mc2_n5_mid3_d1000_05_mr098_r10_27,EMCC_100,V4,V3,,200,100,0,101311.8028640747,751.7070770263672,False,1500,0.072092966,0.40936737,0.19524075731370147,0.2937390545845021,1.2126832884966399,0.11944723904567413,17
