,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,8738.039016723633,62.90292739868164,1000,0.1708037925,0.4919019990000001,0.2628324326704406,0.4666487131455894,0.3310806325577583,5
1,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,17650.885105133057,135.6790065765381,1000,0.1708037925,0.4919019990000001,0.21938395917753292,0.5912827548305241,0.210324580041184,10
2,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,26604.23707962036,188.9779567718506,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5912827548305241,0.21916646283101016,15
3,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,35410.65716743469,261.0950469970703,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5913558712786992,0.21919011132099267,20
4,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,44423.511028289795,315.62304496765137,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5913558712786992,0.21919011132099267,25
5,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,53553.08127403259,380.92875480651855,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5913558712786992,0.21919011132099267,30
6,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,62544.32439804077,442.17967987060547,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5913558712786992,0.21919011132099267,35
7,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,71717.51546859741,585.7710838317871,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5913558712786992,0.21919011132099267,40
8,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,80649.33347702026,569.2260265350342,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5913558712786992,0.21919011132099267,45
9,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,1e-07,50,100,1,89847.82648086548,638.5679244995117,1000,0.1708037925,0.4919019990000001,0.026813833413970232,0.5913558712786992,0.21919011132099267,50
